id,class
IMG_0589,1
IMG_4560,2
IMG_4645,2
IMG_4571,2
IMG_4518,2
IMG_4479,2
IMG_4651,2
IMG_4526,2
IMG_4677,2
IMG_4491,2
IMG_4682,2
IMG_4541,2
IMG_4631,2
IMG_4521,2
IMG_4440,2
IMG_4616,2
IMG_4591,2
IMG_4710,2
IMG_4564,2
IMG_4622,2
IMG_4683,2
IMG_4530,2
IMG_4597,2
IMG_4494,2
IMG_4580,2
IMG_4652,2
IMG_4608,2
IMG_4584,2
IMG_4664,2
IMG_4567,2
IMG_4707,2
IMG_4566,2
IMG_4485,2
IMG_4706,2
IMG_4669,2
IMG_4508,2
IMG_4719,2
IMG_4445,2
IMG_4688,2
IMG_4667,2
IMG_4596,2
IMG_4655,2
IMG_4703,2
IMG_4565,2
IMG_4477,2
IMG_4533,2
IMG_4552,2
IMG_4422,2
IMG_4589,2
IMG_4504,2
IMG_4699,2
IMG_4459,2
IMG_4474,2
IMG_4524,2
IMG_4694,2
IMG_4450,2
IMG_4675,2
IMG_4718,2
IMG_4453,2
IMG_4595,2
IMG_4678,2
IMG_4429,2
IMG_4471,2
IMG_4473,2
IMG_4568,2
IMG_4635,2
IMG_4698,2
IMG_4602,2
IMG_4630,2
IMG_4659,2
IMG_4690,2
IMG_4617,2
IMG_4614,2
IMG_4506,2
IMG_4576,2
IMG_4671,2
IMG_4475,2
IMG_4557,2
IMG_4629,2
IMG_4486,2
IMG_4627,2
IMG_4522,2
IMG_4666,2
IMG_4618,2
IMG_4563,2
IMG_4550,2
IMG_4512,2
IMG_4443,2
IMG_4632,2
IMG_4421,2
IMG_4670,2
IMG_4492,2
IMG_4551,2
IMG_4452,2
IMG_4430,2
IMG_4687,2
IMG_4603,2
IMG_4516,2
IMG_4468,2
IMG_4640,2
IMG_4481,2
IMG_4692,2
IMG_4685,2
IMG_4523,2
IMG_4705,2
IMG_4708,2
IMG_4605,2
IMG_4539,2
IMG_4644,2
IMG_4721,2
IMG_4465,2
IMG_4482,2
IMG_4456,2
IMG_4646,2
IMG_4681,2
IMG_4700,2
IMG_4444,2
IMG_4680,2
IMG_4574,2
IMG_4668,2
IMG_4648,2
IMG_4510,2
IMG_4487,2
IMG_4540,2
IMG_4654,2
IMG_4561,2
IMG_4503,2
IMG_4457,2
IMG_4590,2
IMG_4634,2
IMG_4638,2
IMG_4593,2
IMG_4490,2
IMG_4484,2
IMG_4531,2
IMG_4643,2
IMG_4641,2
IMG_4562,2
IMG_4583,2
IMG_4663,2
IMG_4480,2
IMG_4454,2
IMG_4513,2
IMG_4607,2
IMG_4555,2
IMG_4463,2
IMG_4446,2
IMG_4684,2
IMG_4587,2
IMG_4674,2
IMG_4613,2
IMG_4714,2
IMG_4511,2
IMG_4502,2
IMG_4558,2
IMG_4578,2
IMG_4483,2
IMG_4455,2
IMG_4467,2
IMG_4672,2
IMG_4542,2
IMG_4535,2
IMG_4425,2
IMG_4505,2
IMG_4660,2
IMG_4686,2
IMG_4554,2
IMG_4679,2
IMG_4696,2
IMG_4581,2
IMG_4662,2
IMG_4609,2
IMG_4424,2
IMG_4594,2
IMG_4716,2
IMG_4656,2
IMG_4592,2
IMG_4661,2
IMG_4426,2
IMG_4658,2
IMG_4653,2
IMG_4579,2
IMG_4633,2
IMG_4619,2
IMG_4610,2
IMG_4697,2
IMG_4569,2
IMG_4639,2
IMG_4451,2
IMG_4556,2
IMG_4547,2
IMG_4600,2
IMG_4436,2
IMG_4460,2
IMG_4620,2
IMG_4601,2
IMG_4612,2
IMG_4439,2
IMG_4585,2
IMG_4624,2
IMG_4546,2
IMG_4712,2
IMG_4588,2
IMG_4647,2
IMG_4498,2
IMG_4534,2
IMG_4529,2
IMG_4715,2
IMG_4621,2
IMG_4478,2
IMG_4532,2
IMG_1115,0
IMG_1048,0
IMG_1047,0
IMG_1109,0
IMG_1085,0
IMG_1118,0
IMG_1090,0
IMG_1043,0
IMG_1066,0
IMG_1120,0
IMG_1057,0
IMG_1076,0
IMG_1079,0
IMG_1110,0
IMG_1049,0
IMG_1081,0
IMG_1095,0
IMG_1087,0
IMG_1053,0
IMG_1105,0
IMG_1082,0
IMG_1122,0
IMG_1069,0
IMG_1065,0
IMG_1060,0
IMG_1099,0
IMG_1071,0
IMG_1055,0
IMG_1052,0
IMG_1088,0
IMG_1136,0
IMG_1068,0
IMG_1094,0
IMG_1059,0
IMG_1061,0
IMG_1041,0
IMG_1045,0
IMG_1126,0
IMG_1078,0
IMG_1106,0
IMG_1092,0
IMG_1042,0
IMG_1114,0
IMG_1046,0
IMG_1064,0
IMG_1123,0
IMG_1074,0
IMG_1097,0
IMG_1117,0
IMG_1083,0
IMG_1096,0
IMG_1108,0
IMG_1112,0
IMG_1044,0
IMG_1133,0
IMG_1070,0
IMG_1054,0
IMG_1124,0
IMG_1072,0
IMG_1093,0
IMG_1084,0
IMG_1067,0
IMG_1132,0
IMG_1111,0
IMG_1063,0
IMG_1051,0
IMG_1056,0
IMG_1104,0
IMG_1128,0
